idcvlac,autores,nombre,tipo,nit,registro_camara,verificado,palabras,areas,sectores
0001417846,ANGELA PATRICIA VILLAREAL FREIRE,Aichaku Technology,Producción técnica - Empresa de base tecnológica - Start-up,1061686872-2,2021-08-23 00:00:00.0,False,,,
0001387326,GINETH MAGALY CERON RIOS,FUNDACION DE INVESTIGACION INNOVACION Y DESARROLLO AUTONOMO PARA EL TRABAJO Y EL EMPRENDIMIENTO,Producción técnica - Empresa de base tecnológica - Start-up,9015033589,2020-10-30 00:00:00.0,False,Gestión de la innovación,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Productos y servicios de recreación,culturales, artísticos y deportivos, Desarrollo de programas (software) y prestación de servicios en informática - Consultoría en sistemas de informática, Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial, Otros sectores - Otro"
0001499924,HELDER YESID CASTRILLON COBO,HISP Colombia,Producción técnica - Empresa de base tecnológica - Start-up,900831430-4,2015-03-12 00:00:00.0,False,,,
0000170944,"JUAN PABLO MARTINEZ PULIDO, SILER AMADOR DONADO, ALEXIS OCACIONES GARCIA, ALEJANDRO ROMERO CAMPOS",SECURITIC GROUP SAS,Producción técnica - Empresa de base tecnológica - Start-up,900889156-0,2015-09-15 00:00:00.0,False,,,"Desarrollo de programas (software) y prestación de servicios en informática - Consultoría en sistemas de informática, Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática, Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas"
0000411884,RICHARD MARCELO IMBACHI CHAVEZ,BIOHOGAR R&D SAS,Producción técnica - Empresa de base tecnológica - Spin-off,901708067-1,2023-04-26 00:00:00.0,False,"aglomerados, Arquitectura, cafe, Cannabis, Innovacion, Logistica, residuos, TRL, UEES","Ingeniería y Tecnología -- Biotecnología Industrial -- Bioproductos (Productos que se Manufacturan Usando Biotecnología), Biomateriales, Bioplásticos, Biocombustibles, Materiales Nuevos Bioderivados, Químicos Finos Bioredivados, Ingeniería y Tecnología -- Ingeniería Civil -- Ingeniería de la Construcción","Construcción civil, Desarrollo de nuevos materiales, Desarrollo rural, Desarrollo Urbano, Logística de transporte, almacenamiento y comunicaciones, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la agricultura"
0000374156,"CARLOS ARTURO LEON ROA, HECTOR SAMUEL VILLADA CASTILLO",Corporación de Base Tecnologica Para el Desarrollo e Innovación Agroindustrial,Producción técnica - Empresa de base tecnológica - Spin-off,901132423-7,2017-11-16 00:00:00.0,False,"Almidon de yuca, Almidón termoplástico, Almidones, Biodegradable Packaging, Biodegradable, Bioplasticos, Biopolimeros, Empaques biodegradables, Fibras naturales, fibra de fique",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,Desarrollo de nuevos materiales
0000374156,"HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO SOLANILLA DUQUE, CARLOS ARTURO LEON ROA",Zona Franca Paz - ZonaPAZ,Producción técnica - Empresa de base tecnológica - Spin-off,901141339-4,2017-12-22 00:00:00.0,False,"Almidon de yuca, Agrocadena, Alimentos, Desarrollo Empresarial, Empaques biodegradables, Empaques semirrigidos biodegradables, Patentes, Poscosecha",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Actividades de asesoramiento y consultoría a las empresas - Ensayos de materiales y productos análisis de calidad, Agricultura, pecuaria, silvicultura, explotación forestal - Producción vegetal, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la agricultura, Salud humana - Nutrición y alimentación"
0001573262,EDWIN RIVERA GOMEZ,ACUAPONIA DIGITAL S.A.S,Producción técnica - Empresa de base tecnológica - Spin-off,901680155-8,2022-12-22 00:00:00.0,False,SISTEMAS ACUAPONICOS ,"Ciencias Agrícolas -- Agricultura, Silvicultura y Pesca -- Agricultura, Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía)","Productos y servicios de recreación,culturales, artísticos y deportivos, Agricultura, pecuaria, silvicultura, explotación forestal - Producción animal, incluso servicios veterinarios, Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial, Pesca acuicultura y maricultura, Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0001050796,DIANA LUCINA HINCAPIE MARIN,TECNOSFERA LTDA,Producción técnica - Empresa de base tecnológica - Start-up,900468467-1,2011-10-03 00:00:00.0,False,,"Ingeniería y Tecnología -- Ingeniería Ambiental -- Ingeniería Ambiental y Geológica, Ingeniería y Tecnología -- Biotecnología Ambiental -- Bioremediación, Biotecnología para el Diagnóstico (Chips ADN y Biosensores) en Manejo Ambiental, Ingeniería y Tecnología -- Biotecnología Ambiental -- Biotecnología Ambiental, Ingeniería y Tecnología -- Biotecnología Ambiental -- Ética Relacionada con Biotecnología Ambiental, Ingeniería y Tecnología -- Ingeniería Civil -- Ingeniería Estructural y Municipal, Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Ciencias del Medio Ambiente, Ciencias Naturales -- Ciencias Biológicas -- Ecología",
0000456594,"PAOLA VERNAZA PINZON, INVERSIONES ACOSTA Y VERNAZA SAS, Con su unidad de Negocio MABABY, CENTRO DE GESTACIÓN Y CICLO DE VIDA",se desarrollará la base tecnológica.,Producción técnica - Empresa de base tecnológica - Start-up,9003436077,2010-03-02 00:00:00.0,True,,"Ciencias Médicas y de la Salud -- Biotecnología en Salud -- Biomateriales (Relacionados con Implantes, Dispositivos, Sensores)","Salud humana - Desarrollo de productos tecnológicos para la salud humana, Salud humana - Cuidado a la salud de las poblaciones humanas"
0000011410,"CARLOS HERNAN SIERRA TORRES, CLAUDIA PATRICIA ACOSTA ASTAIZA, HAROLD JOFRE BOLANOS BRAVO",Fundación InnovaGen,Producción técnica - Empresa de base tecnológica - Start-up,900493572-0,2012-01-26 00:00:00.0,True,,"Ciencias Médicas y de la Salud -- Biotecnología en Salud -- Tecnología para la Identificación y Funcionamiento del ADN, Proteínas y Encimas y como Influencian la Enfermedad, Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Epidemiología, Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Salud Pública, Ciencias Médicas y de la Salud -- Ciencias de la Salud -- Ciencias Socio Biomédicas (Planificación Familiar, Salud Sexual, Efectos Políticos y Sociales de la Investigación Biomédica), Ciencias Médicas y de la Salud -- Medicina Básica -- Patología, Ciencias Médicas y de la Salud -- Medicina Clínica -- Obstetricia y Ginecología",Salud humana - Otro
0001619222,CAMILO ANDRES ALFONSO RODRIGUEZ,Novum Science SAS,Producción técnica - Empresa de base tecnológica - Start-up,9014125892,2020-09-18 00:00:00.0,True,,,"Actividades de asesoramiento y consultoría a las empresas - Otras actividades de asesoramiento y consultoría a las empresas, Actividades en el campo de las nanotecnologías y desarrollo de nanoproductos, Desarrollo de nuevos materiales, Fabricación de equipos de instrumentación médico-hospitalarios, instrumentos de precisión y ópticos, equipos para automación industrial, cronómetros y relojes - Otro, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la salud humana o de los animales, Salud humana - Desarrollo de productos tecnológicos para la salud humana"
0000265675,"HECTOR SAMUEL VILLADA CASTILLO, CARLOS ARTURO LEON ROA",CORPORACIÓN DE BASE TECNOLÓGICA PARA EL DESARROLLO E INNOVACIÓN AGROINDUSTRIAL,Producción técnica - Empresa de base tecnológica - Spin-off,901132423,2017-11-16 00:00:00.0,False,"agrocadena, Almidón de yuca, Almidón Termoplástico, base tecnológica, Bioplasticos, desarrollo empresarial, empaques biodegradables, Fibras de fique, Fibras naturales, EBT - Empresa de base tecnológica, innovación y desarrollo, Planta Piloto, Plastico flexible, Pymes, Semirrigidos, Spinoff, Technology Transfer, TRANSFERENCIA DE TECNOLOGIA",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Desarrollo de nuevos materiales, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la agricultura"
0000265675,"APOLINAR FIGUEROA CASAS, CARLOS ARTURO LEON ROA",CORPORACION CENTRO INTERNACIONAL DE INVESTIGACION E INNOVACION DEL AGUA,Producción técnica - Empresa de base tecnológica - Spin-off,900443430,2011-06-13 00:00:00.0,False,,"Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Oceanografía, Hidrología y Recursos del Agua","Agricultura, pecuaria, silvicultura, explotación forestal - Silvicultura, explotación forestal y servicios relacionados"
0000265675,"CARLOS ARTURO LEON ROA, HECTOR SAMUEL VILLADA CASTILLO, JOSE FERNANDO SOLANILLA DUQUE",ZONA FRANCA ZONAPAZ CAUCA PROYECTO AGROINDUSTRIAL SAS,Producción técnica - Empresa de base tecnológica - Spin-off,901141584,2017-12-22 00:00:00.0,False,"agrocadena, base tecnológica, desarrollo empresarial, innovación y desarrollo, Pymes, Spinoff, Technology Transfer, Zona Franca, TRANSFERENCIA DE TECNOLOGIA",Ingeniería y Tecnología -- Otras Ingenierías y Tecnologías -- Otras Ingenierías y Tecnologías,"Desarrollo rural, Productos y servicios de recreación,culturales, artísticos y deportivos, Productos y procesos biotecnológicos - Productos y procesos biotecnológicos vinculados a la agricultura"
0000269140,LUIS FREDDY MUNOZ SANABRIA,S&P SOLUTIONAS SOLUCIONES PROFESIONALES INTELIGENTES E.U.,Producción técnica - Empresa de base tecnológica - Spin-off,900.108.082-4,2010-05-19 00:00:00.0,True,"METODOLOGIAS, Análisis de requisitos, Arquitectura del software","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software)
0000876569,JOSE ARMANDO ORDONEZ CORDOBA,Lumen innovations SAS,Producción técnica - Empresa de base tecnológica - Start-up,900930452-0,2016-01-27 00:00:00.0,True,,"Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Telecomunicaciones","Desarrollo de programas (software) y prestación de servicios en informática - Consultoría en sistemas de informática, Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software)"
0001240811,"ROBERT MAURICIO QUINONES ZUNIGA, CAROLINA QUINONEZ ZUNIGA",Horticola Hidropónica del Cauca SAS,Producción técnica - Empresa de base tecnológica - Spin-off,0900760106-6,2014-08-14 00:00:00.0,True,,Ciencias Agrícolas -- Otras Ciencias Agrícolas -- Otras Ciencias Agrícolas,Desarrollo rural
0000901644,"JORGE ALEJANDRO GARCERA GARCES, JULIA ANDREA OSORIO HENAO",Fundación Trópico Vivo,Producción técnica - Empresa de base tecnológica - Spin-off,900722018-5,2014-04-11 00:00:00.0,True,"Empoderamiento de economías sustentables, COMUNIDAD, CICLOS SOCIONATURALES DEL AGUA, apropiación social del conocimiento ecotecnol, ENFOQUE CONSTRUCTIVISTA, Gestión colectiva del agua raizal, Gobernanza campesina consuetudinaria del agua, manejo territorial endógeno, usos conjuntivos, Vocación Agroalimentaria","Ciencias Sociales -- Economía y Negocios -- Negocios y Management, Ingeniería y Tecnología -- Ingeniería Ambiental -- Ingeniería Ambiental y Geológica, Ciencias Sociales -- Geografía Social y Económica -- Geografía Económica y Cultural, Ciencias Sociales -- Ciencias de la Educación -- Educación General (Incluye Capacitación, Pedagogía), Ciencias Sociales -- Geografía Social y Económica -- Ciencias Ambientales (Aspectos Sociales)","Educación - Educación secundaria de formación técnica, Productos y servicios de recreación,culturales, artísticos y deportivos, Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas, Desarrollo rural"
0001380834,JULIO EDGAR MUNOZ CASTRO,Innovactiva Ingeniería S.A.S,Producción técnica - Empresa de base tecnológica - Spin-off,900396460,2014-06-09 00:00:00.0,False,,,
0000011924,ERNESTO LEON RODRIGUEZ FLOREZ,EcoSyllaba Latinoamérica S.A.S,Producción técnica - Empresa de base tecnológica - Start-up,900901394-8,2015-10-22 00:00:00.0,False,"TIC´s, Nuevas Tecnologias, Redes IPv6, Internet2, Redes Inalambricas, Realidad Virtual, Software Cientifico, Software Educativo, Streaming, Video Juego, WiFi","Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones, Ciencias Naturales -- Computación y Ciencias de la Información -- Ciencias de la Información y Bioinformática","Otros sectores - Informática, Desarrollo de programas (software) y prestación de servicios en informática - Actividades de base de datos, Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software), Desarrollo de programas (software) y prestación de servicios en informática - Consultoría en sistemas de informática, Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática, Educación - Educación superior, Edición, impresión, reproducción y grabación industriales de diarios, revistas, libros, discos, ca-- setes, vídeos y películas - Otro"
0001493543,GUSTAVO ADOLFO FUENTES DELGADO,Human Geografix,Producción técnica - Empresa de base tecnológica - Start-up,901011639,2016-09-20 00:00:00.0,True,"turismo, tic, Planificación Turística, Marketing, Gestión Tecnológica, administración de Empresas","Ciencias Sociales -- Economía y Negocios -- Negocios y Management, Ingeniería y Tecnología -- Ingenierías Eléctrica, Electrónica e Informática -- Ingeniería de Sistemas y Comunicaciones","Productos y servicios de recreación,culturales, artísticos y deportivos, Desarrollo de programas (software) y prestación de servicios en informática - Desarrollo de programas (software), Desarrollo de programas (software) y prestación de servicios en informática - Actividades de base de datos, Desarrollo de programas (software) y prestación de servicios en informática - Otras actividades de prestación de servicios en informática, Edición, impresión, reproducción y grabación industriales de diarios, revistas, libros, discos, ca-- setes, vídeos y películas - Otro, Educación - Formación permanente y otras actividades de enseñanza, incluso educación a distancia y educación especial, Educación - Educación superior, Educación - Otro"
0001399064,CARLOS ANDRES DURAN ENRIQUEZ,Consultoría Ambiental Liquen SAS,Producción técnica - Empresa de base tecnológica - Start-up,900981615-2,2016-06-16 00:00:00.0,False,,Ciencias Naturales -- Ciencias de la Tierra y Medioambientales -- Ciencias del Medio Ambiente,"Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible."
0000547972,CARLOS ERNESTO ORTEGA GARCIA,CONECQUIDAD Empresa Social SAS,Producción técnica - Empresa de base tecnológica - Start-up,9014095838,2020-08-10 00:00:00.0,False,,"Ciencias Sociales -- Otras Ciencias Sociales -- Ciencias Sociales, Interdisciplinaria",
0001549475,WILLIAM ALEXANDER GONZALEZ,Lathar Studios,Producción técnica - Empresa de base tecnológica - Start-up,900.399.926-2,2017-12-12 00:00:00.0,False,,,
0000397334,ORLANDO GONZALEZ BONILLA,Furgoriente S.A.,Producción técnica - Empresa de base tecnológica - Start-up,900296680-3,2009-06-26 00:00:00.0,True,,Ingeniería y Tecnología -- Ingeniería Mecánica -- Mecánica Aplicada,
